predicted_body_mass_g,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
5456.1442662571244,Gentoo penguin (Pygoscelis papua),Biscoe,50.4,15.3,224.0,5550.0,MALE
3290.8037703710652,Adelie Penguin (Pygoscelis adeliae),Biscoe,35.7,16.9,185.0,3150.0,FEMALE
3335.9371954837052,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.6,17.0,185.0,3600.0,FEMALE
3804.6506960584229,Adelie Penguin (Pygoscelis adeliae),Biscoe,38.2,18.1,185.0,3950.0,MALE
4028.6235345877776,Adelie Penguin (Pygoscelis adeliae),Biscoe,40.6,18.8,193.0,3800.0,MALE
3553.8953199445368,Adelie Penguin (Pygoscelis adeliae),Biscoe,39.7,17.7,193.0,3200.0,FEMALE
3581.1691596414312,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.9,18.6,193.0,2925.0,FEMALE
5158.6257228172763,Gentoo penguin (Pygoscelis papua),Biscoe,48.1,15.1,209.0,5500.0,MALE
4699.0496413389756,Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.5,209.0,4800.0,FEMALE
4563.4648092112384,Gentoo penguin (Pygoscelis papua),Biscoe,43.3,13.4,209.0,4400.0,FEMALE
4609.7621738597236,Gentoo penguin (Pygoscelis papua),Biscoe,42.8,14.2,209.0,4700.0,FEMALE
4703.9926942665606,Gentoo penguin (Pygoscelis papua),Biscoe,47.5,14.2,209.0,4600.0,FEMALE
4731.254177236935,Gentoo penguin (Pygoscelis papua),Biscoe,43.6,13.9,217.0,4900.0,FEMALE
5351.49946906054,Gentoo penguin (Pygoscelis papua),Biscoe,49.3,15.7,217.0,5850.0,MALE
4852.7585373406673,Gentoo penguin (Pygoscelis papua),Biscoe,46.5,14.8,217.0,5200.0,FEMALE
4824.5975932926576,Gentoo penguin (Pygoscelis papua),Biscoe,46.5,14.4,217.0,4900.0,FEMALE
4875.0,Gentoo penguin (Pygoscelis papua),Biscoe,44.5,15.7,217.0,4875.0,.
4797.4621711881282,Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.1,217.0,4375.0,FEMALE
5444.83052838974,Gentoo penguin (Pygoscelis papua),Biscoe,50.1,15.0,225.0,5000.0,MALE
5570.4831154648518,Gentoo penguin (Pygoscelis papua),Biscoe,51.1,16.5,225.0,5250.0,MALE
5505.2083650622308,Gentoo penguin (Pygoscelis papua),Biscoe,49.6,16.0,225.0,5700.0,MALE
5516.212271255793,Gentoo penguin (Pygoscelis papua),Biscoe,50.5,15.9,225.0,5400.0,MALE
3415.0287254339637,Adelie Penguin (Pygoscelis adeliae),Biscoe,39.0,17.5,186.0,3550.0,FEMALE
3441.1386255950119,Adelie Penguin (Pygoscelis adeliae),Biscoe,39.6,17.7,186.0,3500.0,FEMALE
4005.4187861757146,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.6,19.1,194.0,3750.0,MALE
4713.8919428300942,Gentoo penguin (Pygoscelis papua),Biscoe,45.8,14.6,210.0,4200.0,FEMALE
4650.4836795246156,Gentoo penguin (Pygoscelis papua),Biscoe,46.5,13.5,210.0,4550.0,FEMALE
4640.5052952745355,Gentoo penguin (Pygoscelis papua),Biscoe,45.3,13.7,210.0,4300.0,FEMALE
4736.8329987657889,Gentoo penguin (Pygoscelis papua),Biscoe,48.7,14.1,210.0,4450.0,FEMALE
4560.2629684967924,Gentoo penguin (Pygoscelis papua),Biscoe,42.0,13.5,210.0,4150.0,FEMALE
4685.7771379795395,Gentoo penguin (Pygoscelis papua),Biscoe,45.1,14.4,210.0,4400.0,FEMALE
4658.5955766775542,Gentoo penguin (Pygoscelis papua),Biscoe,45.5,13.9,210.0,4200.0,FEMALE
4740.8889473422587,Gentoo penguin (Pygoscelis papua),Biscoe,48.2,14.3,210.0,4600.0,FEMALE
4701.7702362981418,Gentoo penguin (Pygoscelis papua),Biscoe,46.6,14.2,210.0,4850.0,FEMALE
4638.731086572303,Gentoo penguin (Pygoscelis papua),Biscoe,41.7,14.7,210.0,4700.0,FEMALE
5286.8019913352109,Gentoo penguin (Pygoscelis papua),Biscoe,50.2,14.3,218.0,5700.0,MALE
4902.70974049689,Gentoo penguin (Pygoscelis papua),Biscoe,47.5,15.0,218.0,4950.0,FEMALE
5301.8157069077879,Gentoo penguin (Pygoscelis papua),Biscoe,51.3,14.2,218.0,5300.0,MALE
5346.1543060642216,Gentoo penguin (Pygoscelis papua),Biscoe,50.0,15.2,218.0,5700.0,MALE
4778.26723215508,Gentoo penguin (Pygoscelis papua),Biscoe,43.4,14.4,218.0,4600.0,FEMALE
5523.9681975374551,Gentoo penguin (Pygoscelis papua),Biscoe,50.8,15.7,226.0,5200.0,MALE
3455.2322403273811,Adelie Penguin (Pygoscelis adeliae),Biscoe,35.3,18.9,187.0,3800.0,FEMALE
3489.0849240617272,Adelie Penguin (Pygoscelis adeliae),Biscoe,40.5,17.9,187.0,3200.0,FEMALE
3382.8711147153026,Adelie Penguin (Pygoscelis adeliae),Biscoe,34.5,18.1,187.0,2900.0,FEMALE
4236.22666416468,Adelie Penguin (Pygoscelis adeliae),Biscoe,41.3,21.1,195.0,4400.0,MALE
3395.7291512794854,Adelie Penguin (Pygoscelis adeliae),Biscoe,35.5,16.2,195.0,3350.0,FEMALE
4279.34282786129,Adelie Penguin (Pygoscelis adeliae),Biscoe,41.0,20.0,203.0,4725.0,MALE
4641.18720307326,Gentoo penguin (Pygoscelis papua),Biscoe,48.4,14.4,203.0,4625.0,FEMALE
4721.6940083092122,Gentoo penguin (Pygoscelis papua),Biscoe,45.4,14.6,211.0,4800.0,FEMALE
4637.1650369677245,Gentoo penguin (Pygoscelis papua),Biscoe,46.1,13.2,211.0,4500.0,FEMALE
5397.5462839410211,Gentoo penguin (Pygoscelis papua),Biscoe,44.4,17.3,219.0,5250.0,MALE
4828.1261569163926,Gentoo penguin (Pygoscelis papua),Biscoe,45.8,14.2,219.0,4700.0,FEMALE
5472.3841658166275,Gentoo penguin (Pygoscelis papua),Biscoe,53.4,15.8,219.0,5500.0,MALE
4938.5804716291077,Gentoo penguin (Pygoscelis papua),Biscoe,48.5,15.0,219.0,4850.0,FEMALE
5302.8543715596334,Gentoo penguin (Pygoscelis papua),Biscoe,46.7,15.3,219.0,5200.0,MALE
3248.9137906613796,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.9,18.6,172.0,3150.0,FEMALE
3674.2095789017148,Adelie Penguin (Pygoscelis adeliae),Biscoe,38.8,17.2,180.0,3800.0,MALE
3757.7591674971773,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.7,18.7,180.0,3600.0,MALE
3827.9769708273834,Adelie Penguin (Pygoscelis adeliae),Biscoe,40.5,18.9,180.0,3950.0,MALE
3980.6603448855949,Adelie Penguin (Pygoscelis adeliae),Biscoe,41.1,19.1,188.0,4100.0,MALE
3946.5308259665162,Adelie Penguin (Pygoscelis adeliae),Biscoe,40.1,18.9,188.0,4300.0,MALE
4082.9904057188505,Adelie Penguin (Pygoscelis adeliae),Biscoe,42.7,18.3,196.0,4075.0,MALE
4737.3772749539912,Gentoo penguin (Pygoscelis papua),Biscoe,47.5,14.0,212.0,4875.0,FEMALE
4777.6137863365,Gentoo penguin (Pygoscelis papua),Biscoe,47.4,14.6,212.0,4725.0,FEMALE
4732.4803612238611,Gentoo penguin (Pygoscelis papua),Biscoe,45.5,14.5,212.0,4750.0,FEMALE
4747.586355191348,Gentoo penguin (Pygoscelis papua),Biscoe,45.2,14.8,212.0,5200.0,FEMALE
4671.1692810028,Gentoo penguin (Pygoscelis papua),Biscoe,44.9,13.8,212.0,4750.0,FEMALE
4804.65693004612,Gentoo penguin (Pygoscelis papua),Biscoe,49.1,14.5,212.0,4625.0,FEMALE
5423.1617956384271,Gentoo penguin (Pygoscelis papua),Biscoe,48.4,16.3,220.0,5400.0,MALE
5384.8379105505155,Gentoo penguin (Pygoscelis papua),Biscoe,50.0,15.3,220.0,5550.0,MALE
5291.6329120871578,Gentoo penguin (Pygoscelis papua),Biscoe,45.0,15.4,220.0,5050.0,MALE
5273.4964914866832,Gentoo penguin (Pygoscelis papua),Biscoe,45.5,15.0,220.0,5000.0,MALE
5270.2815080638757,Gentoo penguin (Pygoscelis papua),Biscoe,48.5,14.1,220.0,5300.0,MALE
5477.294222255121,Gentoo penguin (Pygoscelis papua),Biscoe,51.1,16.3,220.0,6000.0,MALE
4952.3511119792911,Gentoo penguin (Pygoscelis papua),Biscoe,49.1,14.8,220.0,5150.0,FEMALE
4797.8350332948721,Gentoo penguin (Pygoscelis papua),Biscoe,43.5,14.2,220.0,4700.0,FEMALE
5472.2465342061041,Gentoo penguin (Pygoscelis papua),Biscoe,49.1,15.0,228.0,5500.0,MALE
5749.3847733326475,Gentoo penguin (Pygoscelis papua),Biscoe,55.9,17.0,228.0,5600.0,MALE
5668.255342203789,Gentoo penguin (Pygoscelis papua),Biscoe,50.8,17.3,228.0,5600.0,MALE
5682.2435358328839,Gentoo penguin (Pygoscelis papua),Biscoe,52.2,17.1,228.0,5400.0,MALE
3282.67498198266,Adelie Penguin (Pygoscelis adeliae),Biscoe,38.1,17.0,181.0,3175.0,FEMALE
3222.435562902534,Adelie Penguin (Pygoscelis adeliae),Biscoe,36.5,16.6,181.0,2850.0,FEMALE
3520.0257449747223,Adelie Penguin (Pygoscelis adeliae),Biscoe,35.9,19.2,189.0,3800.0,FEMALE
4173.2703986524921,Adelie Penguin (Pygoscelis adeliae),Biscoe,42.2,19.5,197.0,4275.0,MALE
4158.11826548755,Adelie Penguin (Pygoscelis adeliae),Biscoe,43.2,19.0,197.0,4775.0,MALE
4633.8379213692779,Gentoo penguin (Pygoscelis papua),Biscoe,42.6,13.7,213.0,4950.0,FEMALE
4651.7897851799326,Gentoo penguin (Pygoscelis papua),Biscoe,44.9,13.3,213.0,5100.0,FEMALE
4768.3510923560789,Gentoo penguin (Pygoscelis papua),Biscoe,46.5,14.5,213.0,4400.0,FEMALE
4757.4856037548816,Gentoo penguin (Pygoscelis papua),Biscoe,43.5,15.2,213.0,4650.0,FEMALE
5192.7259937743638,Gentoo penguin (Pygoscelis papua),Biscoe,48.4,14.6,213.0,5850.0,MALE
5328.4031042970128,Gentoo penguin (Pygoscelis papua),Biscoe,49.9,16.1,213.0,5400.0,MALE
5349.60373400141,Gentoo penguin (Pygoscelis papua),Biscoe,46.4,15.6,221.0,5000.0,MALE
5377.5801212596,Gentoo penguin (Pygoscelis papua),Biscoe,49.2,15.2,221.0,6300.0,MALE
5296.3122725383764,Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.9,221.0,5300.0,MALE
5471.9029200613477,Gentoo penguin (Pygoscelis papua),Biscoe,52.5,15.6,221.0,5450.0,MALE
5385.6920184125393,Gentoo penguin (Pygoscelis papua),Biscoe,48.2,15.6,221.0,5100.0,MALE
5565.4646753778243,Gentoo penguin (Pygoscelis papua),Biscoe,49.8,15.9,229.0,5950.0,MALE
5580.5706693453112,Gentoo penguin (Pygoscelis papua),Biscoe,49.5,16.2,229.0,5800.0,MALE
3257.4315464101555,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.8,18.3,174.0,3400.0,FEMALE
3426.2802188502674,Adelie Penguin (Pygoscelis adeliae),Biscoe,35.0,17.9,190.0,3450.0,FEMALE
4017.5236014721995,Adelie Penguin (Pygoscelis adeliae),Biscoe,38.2,20.0,190.0,3900.0,MALE
4009.5039827141718,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.8,20.0,190.0,4250.0,MALE
3516.4424339541156,Adelie Penguin (Pygoscelis adeliae),Biscoe,38.1,16.5,198.0,3825.0,FEMALE
4707.80184160213,Gentoo penguin (Pygoscelis papua),Biscoe,45.5,13.7,214.0,4650.0,FEMALE
4740.7906997587452,Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.4,214.0,4650.0,
4725.8921230051492,Gentoo penguin (Pygoscelis papua),Biscoe,45.7,13.9,214.0,4400.0,FEMALE
4615.5762258848,Gentoo penguin (Pygoscelis papua),Biscoe,40.9,13.7,214.0,4650.0,FEMALE
4758.1551548270854,Gentoo penguin (Pygoscelis papua),Biscoe,44.5,14.7,214.0,4850.0,FEMALE
4741.8852213237533,Gentoo penguin (Pygoscelis papua),Biscoe,47.2,13.7,214.0,4925.0,FEMALE
5455.7845468587439,Gentoo penguin (Pygoscelis papua),Biscoe,48.8,16.2,222.0,6000.0,MALE
4925.8061052604171,Gentoo penguin (Pygoscelis papua),Biscoe,46.9,14.6,222.0,4875.0,FEMALE
5376.3370460372062,Gentoo penguin (Pygoscelis papua),Biscoe,48.7,15.1,222.0,5350.0,MALE
5452.6618418308444,Gentoo penguin (Pygoscelis papua),Biscoe,50.4,15.7,222.0,5750.0,MALE
5362.3488524081113,Gentoo penguin (Pygoscelis papua),Biscoe,47.3,15.3,222.0,5250.0,MALE
5468.7472185443567,Gentoo penguin (Pygoscelis papua),Biscoe,50.5,15.9,222.0,5550.0,MALE
5704.8417636056638,Gentoo penguin (Pygoscelis papua),Biscoe,52.1,17.0,230.0,5550.0,MALE
5613.4571130419954,Gentoo penguin (Pygoscelis papua),Biscoe,50.0,16.3,230.0,5700.0,MALE
5643.5306833846025,Gentoo penguin (Pygoscelis papua),Biscoe,51.5,16.3,230.0,5500.0,MALE
5855.2096153187031,Gentoo penguin (Pygoscelis papua),Biscoe,59.6,17.0,230.0,6050.0,MALE
5564.2677393528866,Gentoo penguin (Pygoscelis papua),Biscoe,48.6,16.0,230.0,5800.0,MALE
5644.6484837229928,Gentoo penguin (Pygoscelis papua),Biscoe,49.8,16.8,230.0,5700.0,MALE
5694.586544170852,Gentoo penguin (Pygoscelis papua),Biscoe,55.1,16.0,230.0,5850.0,MALE
3235.896371578895,Adelie Penguin (Pygoscelis adeliae),Biscoe,37.7,16.0,183.0,3075.0,FEMALE
3856.3262201923189,Adelie Penguin (Pygoscelis adeliae),Biscoe,40.6,18.6,183.0,3550.0,MALE
3998.9389316055385,Adelie Penguin (Pygoscelis adeliae),Biscoe,41.4,18.6,191.0,3700.0,MALE
4202.8289407688862,Adelie Penguin (Pygoscelis adeliae),Biscoe,45.6,20.3,191.0,4600.0,MALE
3731.4541271408189,Adelie Penguin (Pygoscelis adeliae),Biscoe,39.6,20.7,191.0,3900.0,FEMALE
3591.5702937228161,Adelie Penguin (Pygoscelis adeliae),Biscoe,38.6,17.2,199.0,3750.0,FEMALE
4645.3523212801065,Gentoo penguin (Pygoscelis papua),Biscoe,45.1,14.5,207.0,5050.0,FEMALE
5248.612775312562,Gentoo penguin (Pygoscelis papua),Biscoe,46.8,15.4,215.0,5150.0,MALE
5240.5008781596225,Gentoo penguin (Pygoscelis papua),Biscoe,47.8,15.0,215.0,5650.0,MALE
4771.9257951772688,Gentoo penguin (Pygoscelis papua),Biscoe,45.1,14.5,215.0,5000.0,FEMALE
5201.2898887205956,Gentoo penguin (Pygoscelis papua),Biscoe,47.6,14.5,215.0,5400.0,MALE
5297.8944273965808,Gentoo penguin (Pygoscelis papua),Biscoe,46.8,16.1,215.0,5500.0,MALE
5266.7491959130366,Gentoo penguin (Pygoscelis papua),Biscoe,46.3,15.8,215.0,5050.0,MALE
5244.6952443284572,Gentoo penguin (Pygoscelis papua),Biscoe,45.2,15.8,215.0,5300.0,MALE
4724.6490477827574,Gentoo penguin (Pygoscelis papua),Biscoe,45.2,13.8,215.0,4750.0,FEMALE
4629.2545878400733,Gentoo penguin (Pygoscelis papua),Biscoe,42.9,13.1,215.0,5000.0,FEMALE
5213.457734450003,Gentoo penguin (Pygoscelis papua),Biscoe,46.1,15.1,215.0,5100.0,MALE
4791.9287028748859,Gentoo penguin (Pygoscelis papua),Biscoe,46.8,14.3,215.0,4850.0,FEMALE
4884.4311537769463,Gentoo penguin (Pygoscelis papua),Biscoe,47.2,15.5,215.0,4975.0,FEMALE
5425.2165880524926,Gentoo penguin (Pygoscelis papua),Biscoe,50.7,15.0,223.0,5550.0,MALE
5413.5101342976359,Gentoo penguin (Pygoscelis papua),Biscoe,45.2,16.4,223.0,5950.0,MALE
5673.2482828559323,Gentoo penguin (Pygoscelis papua),Biscoe,54.3,15.7,231.0,5650.0,MALE
